employee_id,gender,height,waist,salary,dob,death
4782566,m,1.82,1.11,74917.00,1961-11-18,1986-10-21
1427930,m,1.73,1.11,63012.00,1946-03-18,1972-09-13
8880433,f,1.68,0.93,86437.00,1978-08-14,2012-08-09
3129668,m,1.91,1.60,65603.00,1949-05-07,1975-02-15
7607672,m,1.86,1.17,60018.00,1981-07-09,2007-01-25
4221411,m,1.78,1.25,66886.00,1968-10-12,1985-01-08
7897635,f,1.72,1.34,55942.00,1962-07-18,1982-11-26
4406259,m,1.71,0.98,100043.00,1945-04-13,1984-09-29
3822000,f,1.65,0.90,93682.00,1945-03-30,1986-02-15
4998750,m,1.80,1.37,66250.00,1945-08-18,1971-09-11
6346778,m,1.73,1.15,41498.00,1969-10-19,1998-06-25
0459725,m,1.79,1.45,36923.00,1984-09-25,2006-06-20
4657304,f,1.69,1.84,75698.00,1950-10-27,1978-02-25
4847146,m,1.88,1.55,78316.00,1972-02-10,2002-03-19
5304874,f,1.69,1.09,93812.00,1965-09-04,2006-09-15
9352582,m,1.87,1.19,35979.00,1982-11-04,2008-05-20
7024294,m,1.78,1.69,96105.00,1970-04-21,1995-03-04
6147844,f,1.58,1.25,26499.00,1967-10-27,1993-07-18
0018667,f,1.57,0.84,70826.00,1974-07-15,2002-04-01
3453997,m,1.68,0.66,65961.00,1975-04-16,2005-04-09
0820710,m,1.78,0.91,57977.00,1983-11-22,2010-07-25
4762000,m,1.85,1.29,57028.00,1976-08-07,1996-12-24
1328072,f,1.64,1.25,34112.00,1957-01-31,1979-08-26
0173317,f,1.54,0.98,65337.00,1974-03-15,1997-11-11
4398364,f,1.65,0.91,46593.00,1979-07-28,2007-02-28
0518643,m,1.89,1.30,104947.00,1983-08-21,2017-11-11
5217593,m,1.82,1.70,77074.00,1968-10-25,1998-02-15
7876040,f,1.55,1.02,66368.00,1963-11-20,1991-12-18
6501536,m,1.71,0.99,48700.00,1983-06-09,2003-02-26
8046012,f,1.62,1.01,50894.00,1957-12-07,1981-04-14
7640145,m,1.65,0.95,65920.00,1966-03-05,1989-12-28
8058519,,1.87,0.95,59397.00,1967-11-27,1994-11-12
3393415,f,1.54,1.04,38061.00,1981-12-14,2006-09-13
3688488,m,1.79,1.55,85618.00,1969-04-07,2001-12-16
8772792,,1.64,1.27,41576.00,1978-06-16,2000-10-12
1066834,f,1.67,1.60,4050.00,1955-08-24,1975-08-08
6942840,m,1.85,1.57,67373.00,1975-11-29,1998-10-08
9085711,m,1.77,1.48,101888.00,1960-10-10,1993-06-30
9906974,f,1.72,1.11,60752.00,1959-03-21,1987-10-04
0101744,f,1.56,1.17,100004.00,1946-10-08,1977-05-16
9119544,F,1.76,1.21,77647.00,1952-01-19,1983-01-27
3521576,m,1.91,1.46,53559.00,1981-12-04,2006-03-20
4870984,f,1.65,1.17,79189.00,1976-09-09,2016-02-18
7259413,m,1.82,1.31,53979.00,1954-12-18,1977-07-07
8130108,m,1.77,0.90,62158.00,1972-07-31,1999-05-16
7490195,f,1.54,0.97,102178.00,1973-03-11,2005-12-26
0557119,f,1.72,1.18,99893.00,1969-04-28,2006-11-01
5973524,m,1.93,1.34,81139.00,1962-09-20,1993-11-13
7549042,f,1.51,0.86,63611.00,1965-02-01,1989-04-11
5953811,f,1.57,1.09,87444.00,1969-07-19,2003-01-15
5900588,f,1.60,1.29,66538.00,1970-10-15,1991-04-30
4586607,m,1.72,1.55,68947.00,1961-12-15,1982-12-18
2053473,m,1.85,1.18,24829.00,1977-06-27,2000-11-20
5868277,m,1.63,1.00,67243.00,1978-04-11,2002-04-24
0586243,m,1.78,1.09,101791.00,1950-02-13,1985-07-07
5124989,f,1.59,1.26,64148.00,1976-10-19,2000-12-02
0963778,f,1.66,0.81,88887.00,1982-10-04,2018-11-02
4734164,m,1.75,1.08,57674.00,1969-10-30,1993-11-15
7471828,m,1.65,1.42,55933.00,1959-06-02,1976-11-01
0407130,f,1.54,1.06,34132.00,1960-11-07,1984-07-13
1766843,f,1.59,1.68,64948.00,1945-04-27,1960-03-20
4749107,m,1.89,1.10,49197.00,1968-04-17,1996-06-01
3896315,m,1.76,1.05,53771.00,1957-03-24,1984-06-10
7065352,m,1.87,1.54,32821.00,1975-09-23,1996-02-12
5650515,f,1.54,1.38,83442.00,1968-12-21,2000-11-03
0643892,m,1.86,0.90,68396.00,1980-05-27,2006-11-08
0832439,f,1.61,1.28,50884.00,1961-02-26,1977-10-29
6051761,f,1.55,0.90,27598.00,1965-03-03,1994-07-23
5435983,f,1.61,1.24,78079.00,1961-04-22,1992-09-25
3084388,f,1.60,1.07,35916.00,1976-04-03,2002-07-08
2685032,m,1.75,1.26,44014.00,1969-09-24,1992-01-07
8082050,m,1.70,1.17,84330.00,1953-06-13,1987-01-04
9050167,f,1.60,1.22,94424.00,1967-11-06,2006-06-05
6151553,f,1.65,1.35,44046.00,1984-12-21,2004-02-21
8447685,m,1.70,1.22,96788.00,1946-10-25,1982-01-08
5907152,f,1.74,1.40,67358.00,1974-03-15,1999-05-06
6741593,f,1.53,1.42,31200.00,1949-05-09,1966-08-08
0164988,m,1.79,1.29,104525.00,1963-01-02,1994-08-03
5945412,m,1.85,1.46,74040.00,1947-08-27,1969-08-04
2691017,f,1.70,1.33,52154.00,1947-04-16,1972-12-05
5186856,m,1.85,1.29,59255.00,1966-11-14,1991-03-19
4754589,f,1.62,1.09,62401.00,1946-02-25,1971-01-11
0413207,m,1.81,1.62,56666.00,1975-11-16,1994-07-30
5507040,m,1.83,1.71,73674.00,1979-11-29,1995-07-01
7667635,m,1.76,1.48,83925.00,1962-05-31,1994-09-04
6944624,f,1.39,1.03,91933.00,1971-01-18,2002-11-08
4469452,f,1.68,1.19,50774.00,1960-11-09,1982-02-02
7449669,m,1.77,1.11,38566.00,1982-09-28,2008-02-18
8484903,f,1.68,1.34,68019.00,1950-04-23,1973-01-01
5629630,f,1.70,1.36,64558.00,1967-12-09,1989-09-09
3189722,m,1.79,1.57,44256.00,1950-05-03,1972-07-23
3869307,f,1.64,0.94,81190.00,1965-11-27,1997-12-30
3485644,m,1.69,1.12,,1947-05-12,1971-11-23
4430849,m,1.79,0.90,56816.00,1969-09-24,1993-08-13
2453149,m,1.81,0.90,99329.00,1949-07-15,1989-07-14
8016478,m,1.85,1.26,17492.00,1959-09-28,1982-09-09
5375754,m,1.82,1.70,67417.00,1975-04-16,1990-10-06
4240982,f,1.70,1.10,75043.00,1963-05-26,1997-05-08
4711399,f,1.58,1.17,54192.00,1976-10-12,2000-08-07
6755254,m,1.89,1.65,59178.00,1976-03-22,1994-07-22
9304525,f,1.65,0.91,53260.00,1960-09-02,1990-10-27
1938053,f,1.65,1.12,51172.00,1963-06-11,1983-12-18
6454725,m,1.76,1.26,94907.00,1978-08-24,2014-04-22
7343962,f,1.68,1.24,63763.00,1978-01-09,1999-08-05
0420766,m,1.75,1.61,21863.00,1984-09-26,2004-08-20
3833711,m,1.77,1.11,106468.00,1949-09-25,1983-01-03
6658665,m,1.72,1.23,60692.00,1972-03-13,1994-09-15
5052537,f,1.69,1.00,103189.00,1984-06-29,2017-06-09
9330201,m,1.78,1.06,80337.00,1981-12-15,2015-11-21
3677856,m,1.74,1.22,69141.00,1973-08-24,1998-01-18
2925120,m,1.73,1.38,98782.00,1954-04-18,1983-12-15
9711059,f,1.58,1.05,64411.00,1978-06-25,1999-05-02
3216367,m,1.81,1.58,73395.00,1963-07-21,1986-06-19
2382191,m,1.87,1.11,51438.00,1960-06-03,1984-12-03
1099804,m,2.00,1.10,20453.00,1950-08-31,1977-08-07
9587631,m,1.76,1.36,65580.00,1964-08-13,1987-04-08
2297434,f,1.61,1.54,59557.00,1960-05-31,1979-10-17
3855504,f,1.54,0.97,87126.00,1948-03-01,1981-06-22
